review_id,date,reviewer,review,positive_count,negative_count,sentiment
137241207,2026-08-28T17:18:55,김**,"맛: 불향이 은은하게 퍼지면서 칼칼하고 진한 고기·해물 육수 맛, 기본 매운맛이라 텁텁하지 않고 입에 착 감김 크기: 1인분 기준 넉넉한 중화면(250g)과 수북한 건더기 양으로 한 그릇만 먹어도 배부를 정도로 푸짐함 향: 자극적인 기름 냄새 대신 식욕을 돋우는 칼칼한 짬뽕 특유의 매콤하고 깊은 불향 사용감: 번거로운 해동 과정 없이 냉동 상태 그대로 냄비에 넣어 조리할 수 있어 조리 편의성이 매우 뛰어남 재구매 의향: 200%! 냉동실에 없으면 불안할 정도로 쟁여두는 최애 짬뽕 밀키트라 앞으로도 계속 재구매 예정 컬리에서 이미 여러 번 재구매해서 먹고 있는 이연복 셰프님의 목란 짬뽕입니다. 평소 매운 음식을 워낙 좋아해서 매운맛을 항상 기본으로 주문하고 있어요. 보통 냉동 밀키트는 미리 냉장 해동을 하거나 찬물에 담가둬야 하는 번거로움이 있는데, 이 제품은 사진처럼 꽝꽝 얼어있는 육수 블록을 해동 없이 냄비에 바로 넣고 끓여도 국물 맛이나 건더기 식감이 전혀 망가지지 않아 조리가 정말 간편합니다. 면발은 삶아낸 뒤 찬물에 헹궈주면 중식당에서 갓 뽑아낸 것처럼 탱글탱글하고 쫄깃함이 그대로 살아납니다. 무엇보다 냉동 짬뽕치고 건더기가 정말 실해요. 오징어, 홍합 같은 해물은 물론이고 당근, 양파, 버섯, 고기까지 큼직하게 듬뿍 들어있어서 씹는 맛이 제대로 납니다. 💡 이연복 짬뽕을 200% 즐기는 꿀팁 해동 없이 육수 블록을 냄비에 넣고 중불에서 끓여줍니다. 끓는 물에 중화면을 삶아 찬물에 가볍게 헹군 후 그릇에 담아줍니다. 팔팔 끓어오른 짬뽕 국물과 푸짐한 건더기를 면 위에 부어주면 완성됩니다. 면을 다 먹고 남은 진한 국물에 수제비 사리를 넣어 끓여 먹거나, 따뜻한 흰쌀밥을 푹 말아 먹으면 짬뽕밥 느낌으로 완벽한 마무리가 됩니다. 집에서 간편하게 전문점 수준의 깊고 얼큰한 짬뽕을 즐기고 싶거나, 술 마신 다음 날 시원하게 해장하고 싶을 때 강력 추천하는 밀키트입니다.",11,2,긍정
136127896,2026-07-27T20:59:33,이**,"이연복의 목란 짬뽕이 유명해서 잘 먹고 있어요. 오랜만에 먹고싶어서 주문해봤어요. 날이 더워도 꽁꽁얼어서 안전하게 배송되는 점이 좋네요. 1인분씩 분리 포장되어 있어서 두고 먹기에 좋아요. 개인적으론 양념이 진해서 양념 한 봉에 물 한 컵 추가해서 끓이니 2인분 국물 되더라고요. 여기에 오징어 새우 추가해서 넣으니 어른 아이 먹기 좋은 2인분이 나오고, 사리면이나 생면을 따로 사서 추가하면 한 봉으로 어른 2인분이 먹어도 맛있을 정도의 양과 맛이라 저는 이렇게 먹고 있어요. 면도 쫄깃하고, 국물 진하고 매콤칼칼한 맛이라 중국집 짬뽕 주문안해도 충분히 집에서 즐기기 좋은 맛이네요. 진하고 매운맛 좋아하시는 분들은 한 봉 그대로 드셔도 되고, 적당히 매콤칼칼한게 좋으신분들은 저처럼 물 한컵 추가하시는것도 추천드려요.",7,2,긍정
137395962,2026-09-02T09:42:50,이**,"해물 폭탄&죽순 추가로 중화요리 전문점 제쳐버린 이연복의 목란 짬뽕 솔직 후기! 컬리 주문할 때마다 절대 빠뜨리지 않는 인생 짬뽕인데, 이번엔 작정하고 냉장고 속 해산물과 죽순을 왕창 털어 넣어 제대로 조리해 봤습니다. 결과는 진짜 고급 중학요리 전문점 머리채 잡을 만큼 완벽한 한 그릇이 탄생했어요! 시각과 미각을 사로잡는 입체적 풍미 코끝을 스치는 그윽한 불향과 깊은 국물 냄비에서 끓어오를 때부터 진동하는 묵직한 불향이 식욕을 미친 듯이 자극합니다. 첫 숟갈 딱 뜨는 순간, 텁텁함이라곤 전혀 없이 고기 육수의 묵직하고 묵직한 고소함과 고춧가루의 칼칼한 매콤함이 혀 끝에 착 감겨요. 해물과 죽순 추가의 미친 밸런스 (강력 추천!) 베이스 국물이 워낙 진하고 단탄해서 탱글한 왕새우, 통통한 오징어, 꽃게, 쭈꾸미를 듬뿍 넣어도 국물이 전혀 겉돌거나 밍밍해지지 않습니다. 해즙이 국물에 녹아들면서 시원한 감칠맛이 2배로 폭발하고, 아삭아삭 씹히는 죽순과 쫄깃한 목이버섯의 식감이 어우러져 한 입 먹을 때마다 감탄이 절로 나와요. 국물이 제대로 배어든 쫄깃탱탱 면발 면을 따로 삶아 찬물에 살짝 헹군 뒤 국물에 말아주니, 면발 표면에 진한 짬뽕 국물이 쫙 코팅됩니다. 마지막 한 가닥을 건져 먹을 때까지 불지 않고 쫄깃함을 유지해서 후루룩 소리 내며 정신없이 입으로 직행하게 되네요. 얼큰하고 진한 국물 한 숟가락에 탱글한 해산물과 아삭한 죽순을 얹어 먹으면 그날 스트레스가 싹 날아갑니다. 면 다 건져 먹고 남은 국물에 찬밥 말아먹는 건 필수 코스인 거 아시죠? 집에서 즐길 수 있는 최고의 상어급 짬뽕입니다. 재구매는 무조건 평생 각이에요.",8,2,긍정
135576215,2026-07-11T17:07:29,황**,"요즘 습하고 푹푹찌는 더위로 다들 힘들실텐데 이럴때일수록 이열치열!! 이연복 짬뽕으로 더위 날려요!!! 그래서인지 다른 때보다 더 맛있게 먹었어요. 일부러 중식당에 가지 않아도 그런 맛을 느낄 수 있어서 좋고요 너무 편해요~ 순한맛으로 픽! 맵찔이인 저에게는 순한맛도 약간 매콤했고요. 저는 매운맛도 중화시킬겸 야채 많이 들어간 것을 좋아해서 원래대로만 끓여서 먹어도 충분하지만 냉장고에 있는 야채를 듬뿍 넣었어요. 콩나물, 버섯, 파,양파를 넣어서 끓였는데 특히 콩나물은 씹히는 식감 때문에 훨씬 더 맛있더라고요. 2개로 소분되어 있어서 편하고요 양도 넉넉해서 배불러요. 면발도 뚝뚝 끊키지 않고 쫄깃쫄깃 했어요. 다른 반찬도 필요없고 전 단무지무침이랑 먹었어요. 단무지의 단짠단짠함이 매운맛을 달래주었어요. 요즘은 너무 더워서 먹기 한시간 전에 빼놓으니깐 금방 해동되더라고요. 더워서 입맛도 떨어지고 메뉴도 고민되고 할때 짬뽕 드셔 보세요. ㅎㅎㅎ 너무 맛있게 먹어서 다음번엔 백짬뽕도 먹어 볼까해요. 다들 더위 잘 이겨내세요^^",6,0,긍정
136520825,2026-08-07T19:14:01,이**,"워낙 이연복쉐프님 짬뽕은 컬리에서 유명하고 실제로 목란에서 먹어보기도 했기에 집에서도 맛집 느낌을 낼 수 있을까 궁금해 구매해봤어요~~ 후기가 많아서 기대를 했는데 기대했던 것만큼 만족스러웠습니다 ^,^ 저는 오리지널 맛으로 먹었는데 국물이 얼큰하면서도 깊은 맛이 나서 자꾸 손이 가더라고요😀 맵기만 한 스타일이 아니라 불향이 은은하게 느껴지고 국물이 진해서 면이랑 정말 잘 어울렸어요. 고기와 버섯, 채소 등 건더기도 생각보다 넉넉하게 들어 있어서 밀키트치고 꽤 푸짐한 편이었습니다!!!ㅎㅎ ㅈㅓ는 집에 있는 새우들 많이넣어서 추가해 먹었어요~~~!! 조리도 어렵지 않고 면만 따로 삶아서 국물과 함께 끓여주면 금방 완성돼서 바쁜 날 한 끼 해결하기에도 좋았어요. 밖에서 짬뽕을 배달시키면 가격도 부담되고 면이 불어서 오는 경우도 많은데 집에서 바로 끓여 먹으니 훨씬 만족스러웠습니다👍🏻 신랑이랑 같이 한 끼 맛있게 먹었고 둘 다 만족했어요^,^ 짬뽕이 생각날 때마다 종종 재구매해서 먹을 것 같습니다. 집에서도 맛집 스타일의 짬뽕을 즐기고 싶은 분들께 추천하고 싶은 제품이에요!",11,0,긍정
137289600,2026-08-30T09:32:34,이**,"우리 집 냉장고 쟁여템 중 하나예요! 평소에 매운 음식을 워낙 좋아해서 짬뽕도 자주 먹는 편인데, 이 제품은 단순히 맵기만 한 인위적인 매운맛이 아니라 얼큰하면서도 깊은 맛이 나서 정말 마음에 들어요. 냉동 짬뽕이라 처음에는 가격대가 있는 편이라 살짝 망설였는데, 한 번 먹어보고는 생각이 완전히 달라졌어요. 오히려 맛을 생각하면 이 정도 가격은 충분히 납득할 만하다는 생각이 들더라고요. 냉동 제품이라고 해서 국물 맛이 밋밋하거나 아쉬울 줄 알았는데, 웬만한 중국집에서 주문해 먹는 짬뽕보다 맛있는 것 같아요. 국물도 얼큰하고 감칠맛이 좋아서 자꾸 생각나는 맛이고, 매운맛 좋아하는 저에게는 딱 취향이에요. 집에서 간편하게 조리해서 먹을 수 있다는 것도 큰 장점이고요. 여러 냉동 짬뽕 제품을 먹어봤지만 개인적으로는 시중에 판매하는 냉동 짬뽕 중 최고라고 생각합니다. 가격 때문에 처음 구매할 때 고민했던 게 무색할 정도로 만족도가 높아서 이제는 떨어지기 전에 미리 쟁여두는 제품이 됐어요. 매콤하고 얼큰한 짬뽕 좋아하시는 분들이라면 한 번쯤 드셔보시길 추천합니다!",10,2,긍정
134716219,2026-06-16T15:09:48,강**,"컬리에서 주문한 이연복의 목란 짬뽕, 워낙 유명해서 기대 반 걱정 반으로 주문했는데 결론부터 말하면 재구매 의사 있습니다. 평소 짬뽕을 좋아하는 편이라 웬만한 밀키트나 냉동 짬뽕 제품은 많이 먹어봤는데, 이 제품은 국물 맛이 확실히 차별화되는 느낌이었어요. 얼큰하면서도 단순히 맵기만 한 맛이 아니라 해물과 채소에서 우러난 깊은 감칠맛이 진하게 느껴졌습니다. 국물 한 숟갈 떠먹는 순간 왜 목란 짬뽕이라고 하는지 알겠더라고요. 저는 조금 더 푸짐하게 먹고 싶어서 우삼겹과 양배추를 추가해서 조리했는데 이 조합이 정말 만족스러웠습니다. 우삼겹에서 나온 고소한 기름이 국물에 자연스럽게 녹아들면서 훨씬 진하고 풍부한 맛이 났고, 양배추는 아삭한 식감을 더해줘서 식당에서 먹는 짬뽕 같은 느낌이 들었어요. 특히 양배추의 단맛이 얼큰한 국물과 잘 어울려서 훨씬 맛있게 먹었습니다. 면도 생각보다 쫄깃해서 좋았어요. 냉동면 특유의 퍼지는 식감이 거의 없고 탱글탱글한 식감이 살아 있어서 국물과 함께 먹기 좋았습니다. 국물을 머금은 면을 후루룩 먹으니 집에서 만든 음식이라는 생각이 안 들 정도였네요. 양도 성인 기준으로 충분한 편이었고, 우삼겹과 양배추를 추가하니 외식 대신 집에서 한 끼 해결하기에 전혀 부족함이 없었습니다. 오히려 밖에서 짬뽕 한 그릇 사 먹는 가격을 생각하면 가성비도 괜찮다고 느꼈어요. 맵기는 아주 매운 편은 아니고 얼큰한 수준이라 매운 음식을 잘 못 먹는 분들도 크게 부담 없이 드실 수 있을 것 같습니다. 반대로 아주 강한 불맛이나 자극적인 매운맛을 기대하신다면 조금 아쉬울 수 있지만, 저는 오히려 질리지 않는 맛이라 더 좋았습니다. 다음에는 오징어나 새우 같은 해산물을 추가해서 먹어볼 생각입니다. 기본 제품만으로도 충분히 맛있지만 취향에 따라 재료를 조금만 추가하면 훨씬 고급스럽고 푸짐한 한 끼가 되는 제품이라 만족도가 높았습니다. 집에서 간편하게 맛있는 짬뽕을 즐기고 싶은 분들께 추천하고 싶어요.",18,2,긍정
133220573,2026-05-04T00:42:51,김**,"주문 - 2026년 5월 1일(금)/ 12:49PM 수령 - 2026년 5월 2일(토)/ 04:05AM 택배기사분들 고생많으십니다. 7천원 할인쿠폰 온 김에 장바구니에 담아두었던 대패 삼겹살을 사려는데 2만원 채우려고 검색하던 중 유튜브에서 몇번 오며가며 보았던 동 제품이 눈에 밟혀 주문해보았습니다. 1) 면을 국물보다 너무 빨리 삶아서 건져서 미지근한 물에 한번 씻고 체에 한 6분 정도 받혀두고 기다리느라 먹을때 면이 퍼졌을 줄 알았는데 두께가 있는 면이라 그런지 시간이 지나도 쫄깃하니 퍼지지 않았습니다. 2) 국물을 알려준 대로 4분간 끓이니 오래 달인 냄새가 나서 1차적으로 불안해졌고 면과 섞어 첫 한입을 맛보는데 홍합 냄새가 너무 강해서 홍합 짬뽕인가..하고 2차적으로 불안했습니다. 불안한 첫인상에 비해 식사가 중반을 지나 거의 마무리 되어갈 때쯤 오히려 점점 맛이 좋아지는 걸 보고 많이 놀랬네요. 일단 국물이 아주 진합니다. 어지간한 짬뽕 좀 친다는 중국집 짬뽕보다 훨씬 걸쭉하고 진한 맛이 납니다. 처음에 강하게 나던 홍합향도 식사가 진행될 수록 다른 재료들과 섞여들어 존재감이 줄어들었고 오래 달인듯한 국물 냄새도 먹으면서 사라지고 국물 상태도 신선하네요. 보통 맛있는 음식도 처음에 '우와~' 하는 맛이 나다가 식사가 진행되면서 점점 평범해지거나 질리는 것이 일반적인데 동 제품은 식사가 끝날때가 될수록 점점 더 만족스러운 신기한 제품이네요. 동네에 짬뽕 맛있는 중국집 없으면 인당 7천원 좀 안되는 돈으로 충분히 맛있게 즐길만한 제품인 것 같습니다. 평생 먹어온 레토르트 제품 중에서 '와 꽤나 맛있네' 할 정도로 만족스러운 제품이 손가락 5개 안에 꼽힐정도로 적은데 동 제품, 그 5위 안에 들어왔습니다. 유통기한도 10개월 정도로 길어서 할인할 때 주문해서 냉동실 쟁여두기도 좋겠네요. 만족스럽습니다. 번창하세요.",10,8,긍정
131981129,2026-03-21T20:59:44,하**,"이제품 짬뽕이 유명하다고 해서 궁금하기엔 쿠* 주문해볼까하고 들어갔다 가격에 놀래서 포기 그러다 엄마부탁으로 찾던 제품이 여기 마켓컬리에 가격이 할인되어서 고민하다 가입 오후 6시 댓글보면서 이거저거 주문 새벽 2시에 소리가 나서 보니 도착 진짜 빠르다 깔끔하게 아이스까지해서 배송 맘든다 오늘 드뎌 구매한 제품 요리를 ㅎㅎ 쉽다쉬워 5분만에 끝 댓글보니 양배추 양파 대파 같은 추가하래서 넣어봄 양이 많아짐 둘이먹기 딱 (1인분용으로) 얼큰한게 국물부터가 사골로 만든듯 집근처 중국집 고기짬뽕으로 유명했는데 사골육수 사용해서 진국인데 그맛만큼 진국 오징어,홍합.고기가 잔뜩 좋은 재료 쓰는듯 면도 딱 좋음 소문날만함ㅎㅎ 할인,빠른배송.맛까지 삼박자 굿 재구매각",2,1,긍정
136156207,2026-07-28T18:58:36,홍**,"컬리 추천템으로 빠지지 않는 제품이라 궁금했어요 또 목란가서 먹으려면 예약하고 대기해야 된다던데 이렇게 집에서 먹을 수 있다니 기대됐습니다 국물과 면 구성이었는데 사이즈가 굉장히 컸어요 면을 먼저 끓인 후 건져내고 국물을 데운 후 면을 넣고 조금 더 끓였습니다 건더기가 고기,해산물,야채 등 들어있지만 청경채나 양파 등은 더 넣어도 좋을 거 같아요 맛은 오리지널했는데 꽤 매워요 그치만 맛있게 땡기는 매운맛이라 맵다하면서도 맛있게 먹었습니다 면도 쫄깃하고 웬만한 배달보다 맛있는 짬뽕이었어요 요즘 날씨보다는 날이 선선해지면 더 생각날 거 같은 제품이에요",5,1,긍정
