,count,unique,top,freq,mean,std,min,25%,50%,75%,max
연도,56.0,,,,1997.5,16.30950643030009,1970.0,1983.75,1997.5,2011.25,2025.0
출생아수(명),56.0,,,,601145.4464285715,215601.18796577078,230028.0,443313.5,634555.5,735690.5,1024773.0
자연증가건수(명),56.0,,,,339532.39285714284,239179.0793864926,-123753.0,196638.5,393559.0,495494.5,787245.0
조출생률(천명당),56.0,,,,14.348214285714286,7.167451457080849,4.5,9.0,14.1,17.35,31.2
자연증가율(천명당),56.0,,,,8.432142857142859,6.74550644079873,-2.4,4.0,8.75,11.700000000000001,23.9
합계출산율(명),56.0,,,,1.7818035714285716,0.9883853576716626,0.721,1.1764999999999999,1.505,1.835,4.54
출생성비(명),56.0,,,,108.38035714285714,3.1210965230978536,104.2,105.65,108.0,110.1,116.5
출생아수_전년대비증감(명),55.0,,,,-13678.254545454545,37032.455177716234,-94362.0,-31563.0,-14852.0,8775.0,111941.0
출생아수_전년대비증감률(%),55.0,,,,-2.2967306706479045,5.911446536645356,-12.522477342994486,-7.182286246959002,-2.290423103297623,1.410890685937205,14.91099306273378
출생아수_5년이동평균(명),56.0,,,,628320.6074404762,213304.05522921486,246486.8,464788.44999999995,647859.1000000001,808270.7000000001,1015709.0
10년기간,56,6,1970년대,10,,,,,,,
