,연도,출생아수(명),자연증가건수(명),조출생률(천명당),자연증가율(천명당),합계출산율(명),출생성비(명),출생아수_전년대비증감(명),출생아수_전년대비증감률(%),출생아수_5년이동평균(명)
연도,1.0,-0.9652328053560495,-0.9616814970745265,-0.9603510377566612,-0.9666207797840108,-0.8668788768830709,-0.4667830039136948,0.051297822461202826,-0.10571839371711406,-0.9775270929730118
출생아수(명),-0.9652328053560495,1.0,0.9940656319184488,0.9782377253421792,0.9904870258581042,0.894902313160232,0.4431290465065672,0.03458623459248692,0.18718648415920797,0.9803800771318865
자연증가건수(명),-0.9616814970745265,0.9940656319184488,1.0,0.9577413150710137,0.9809928897777987,0.8609235071455139,0.4761285593746301,0.028458623474735205,0.1794847714224195,0.9757919246025557
조출생률(천명당),-0.9603510377566612,0.9782377253421792,0.9577413150710137,1.0,0.9941591247380384,0.9617502584842964,0.3504182574522342,0.005289988506395952,0.15298130135684845,0.9692343503861778
자연증가율(천명당),-0.9666207797840108,0.9904870258581042,0.9809928897777987,0.9941591247380384,1.0,0.93967709327526,0.39109714808082396,0.010326979177455705,0.15841846437158127,0.9784755694761624
합계출산율(명),-0.8668788768830709,0.894902313160232,0.8609235071455139,0.9617502584842964,0.93967709327526,1.0,0.18225269823696147,-0.013591785078133347,0.11544239883215386,0.8910195148750844
출생성비(명),-0.4667830039136948,0.4431290465065672,0.4761285593746301,0.3504182574522342,0.39109714808082396,0.18225269823696147,1.0,-0.048690332977828245,0.06303967040180268,0.42932295145976435
출생아수_전년대비증감(명),0.051297822461202826,0.03458623459248692,0.028458623474735205,0.005289988506395952,0.010326979177455705,-0.013591785078133347,-0.048690332977828245,1.0,0.9360788408624484,-0.11749739073059223
출생아수_전년대비증감률(%),-0.10571839371711406,0.18718648415920797,0.1794847714224195,0.15298130135684845,0.15841846437158127,0.11544239883215386,0.06303967040180268,0.9360788408624484,1.0,0.039435789296133054
출생아수_5년이동평균(명),-0.9775270929730118,0.9803800771318865,0.9757919246025557,0.9692343503861778,0.9784755694761624,0.8910195148750844,0.42932295145976435,-0.11749739073059223,0.039435789296133054,1.0
